"Reporting starts","Reporting ends","Ad name","Ad delivery","Amount spent (TWD)",Impressions,Reach,"Attribution setting",Bid,"Bid type","Quality ranking","Engagement rate ranking","Conversion rate ranking","CTR (link click-through rate)","Offline purchases","Link clicks","Website checkouts initiated","In-app purchases","3-second video plays rate per impressions","Checkouts initiated","Landing page views","In-app adds to cart","3-second video plays",ThruPlays,"Video plays at 25%","Offline adds to cart","Meta adds to cart",Purchases,"Website purchases","Video plays at 75%","Offline checkouts initiated","Video plays at 95%","Offline purchases conversion value","App landing page views","Meta purchase conversion value","Video plays at 50%","In-app purchases conversion value","Website landing page views","Meta checkouts initiated","Video plays at 100%","ATC Rate","CPC (all) (TWD)","In-app purchase ROAS (return on ad spend)","Landing page views rate per link clicks","Purchases conversion value","Video average play time","Purchase ROAS (return on ad spend)","In-app checkouts initiated","Website adds to cart","Cost per purchase (TWD)",Frequency,"Adds to cart","Website purchases conversion value","Meta purchases","Hold Rate","Website purchase ROAS (return on ad spend)","Ad set budget","Ad set budget type",Ends,"Account name","Campaign name","Ad set name"
2025-12-06,2025-12-06,影片_B2C氛圍,active,922,3663,2606,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,-,-,4.695605,,172,11,,20.01092,11,151,,733,167,737,,,3,3,240,,187,,,,418,,151,,174,0.1627907,3.559846,,87.790698,2359,3,2.558568,,28,307.333333,1.405602,28,2359,,0.23738063,2.558568,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-06,2025-12-06,靜態圖_B2B主打,active,290,942,619,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,4.883227,,46,12,,,12,47,,,,,,,1,1,,,,,,,,,47,,,0.30434783,4.677419,,102.173913,1306,00:00:00,4.503448,,14,290,1.521809,14,1306,,,4.503448,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-06,2025-12-06,BRD_20251203_Video_D_ASMR_Tuile,inactive,0,0,0,-,0,ABSOLUTE_OCPM,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,00:00:00,,,,,0,,,,,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-06,2025-12-06,BRD_VideoC_快節奏_1202,active,116,611,533,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.963993,,12,,,15.548282,,11,,95,25,59,,,,,25,,12,,,,33,,11,,12,0.25,6.823529,,91.666667,,3,,,3,,1.146341,3,,,0.12631579,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-06,2025-12-06,RT14_光影影片_1202,active,8,21,19,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,9.52381,,2,,,4.761905,,2,,1,,1,,,,,,,,,,,,,2,,,0,4,,100,,1,,,,,1.105263,,,,0,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-06,2025-12-06,"RT14_常態影片廣告 影片A-Ad1",active,394,1722,1448,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",2.206736,,38,10,,17.073171,10,34,,294,66,129,,,3,3,29,,17,,,,75,,34,,16,0.55263158,8.382979,,89.473684,2523,3,6.403553,,21,131.333333,1.189227,21,2523,,0.05442177,6.403553,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-06,2025-12-06,"測試 - 2025-常態影片廣告 影片A-Ad2",active,956,8975,8086,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.236769,,111,3,,18.48468,3,103,,1659,501,1885,,,,,603,,523,,,,936,,103,,503,0.12612613,5.252747,,92.792793,,2,,,14,,1.109943,14,,,0.3031947,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-05,2025-12-05,影片_B2C氛圍,active,932,4028,2865,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,-,-,4.99007,,201,24,,22.492552,24,200,,906,234,921,,,7,7,314,,251,,,,520,,200,,237,0.23880597,2.733138,,99.502488,22508,3,24.150215,,48,133.142857,1.405934,48,22508,,0.2615894,24.150215,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-05,2025-12-05,靜態圖_B2B主打,active,229,721,430,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,7.905687,,57,5,,,5,56,,,,,,,3,3,,,,,,,,,56,,,0.43859649,3.013158,,98.245614,5254,00:00:00,22.943231,,25,76.333333,1.676744,25,5254,,,22.943231,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-05,2025-12-05,BRD_20251203_Video_D_ASMR_Tuile,inactive,57,254,226,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,3.149606,,8,1,,27.559055,1,9,,70,22,80,,,,,30,,24,,,,47,,9,,23,0.25,4.071429,,112.5,,4,,,2,,1.123894,2,,,0.32857143,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
