所有CPC成效報告 - Shopee台灣
使用者名稱,ivyhousetw
賣場名稱,艾薇手工坊
賣場ID,46769799
報表匯出時間,2026/01/04 17:14
期間,2025/12/04 - 2025/12/09

順序,廣告名稱,狀態,廣告類型,商品 ID,目標客群,創作,出價模式,版位,關鍵字/版位層級,比對模式,開始日期,結束日期,瀏覽數,點擊數,點擊率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率
15,【艾薇手工坊】招牌雙塔組合 - 綜合口味10入(袋裝) [4],正在進行,商品廣告,2693447730,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,31275,535,1.71%,5,1,0.93%,0.19%,588.16,2940.82,5,1,1300.00,340.00,2940.82,0.44,0.12,226.22%,864.95%,-,-,-
16,【艾薇手工坊】堅果塔-綜合口味 10入 (袋裝) [4],正在進行,商品廣告,2674063163,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,30997,516,1.66%,18,8,3.49%,1.55%,126.57,284.79,28,9,6720.00,3080.00,2278.32,2.95,1.35,33.90%,73.97%,-,-,-
17,【艾薇手工坊】奶油曲奇餅乾-焦糖牛奶口味 90g (袋裝) [5],正在進行,商品廣告,7343250430,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/20 00:00:00,無限制,28415,530,1.87%,20,10,3.77%,1.89%,90.00,180.00,39,20,5677.00,2205.00,1800.00,3.15,1.23,31.71%,81.63%,-,-,-
18,【艾薇手工坊】西點餅乾-綜合西點曲奇餅乾 90g/135g (袋裝) [5],正在進行,商品廣告,3308017712,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/10/25 00:00:00,無限制,27417,567,2.07%,19,11,3.35%,1.94%,94.74,163.64,23,15,3440.00,2110.00,1800.00,1.91,1.17,52.33%,85.31%,-,-,-
19,【艾薇手工坊】經典杏仁瓦片90g (袋裝) 5包優惠組-口味自選 [4],正在進行,商品廣告,12420284923,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,25512,391,1.53%,20,5,5.12%,1.28%,98.21,392.83,45,25,6596.00,2615.00,1964.15,3.36,1.33,29.78%,75.11%,-,-,-
20,【艾薇手工坊】雪花餅-綜合口味 10入/15入(袋裝) [4],正在進行,商品廣告,22245703190,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/10/25 00:00:00,無限制,24428,426,1.74%,13,7,3.05%,1.64%,138.46,257.14,18,10,3524.00,2300.00,1799.97,1.96,1.28,51.08%,78.26%,-,-,-
21,【艾薇手工坊】椰棗核桃 150g (袋裝) [4],正在進行,商品廣告,5204309653,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,23353,367,1.57%,21,14,5.72%,3.81%,90.38,135.58,34,27,5785.00,4455.00,1898.08,3.05,2.35,32.81%,42.61%,-,-,-
22,【艾薇手工坊】堅果塔-法式焦糖口味 10入 (袋裝) [4],正在進行,商品廣告,2674057469,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,22289,240,1.08%,8,3,3.33%,1.25%,178.50,475.99,10,3,3588.00,1040.00,1427.98,2.51,0.73,39.80%,137.31%,-,-,-
23,【艾薇手工坊】堅果塔-濃醇蜂蜜口味 10入 (袋裝) [4],正在進行,商品廣告,2674054553,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/11/14 00:00:00,無限制,15694,235,1.50%,19,4,8.09%,1.70%,93.62,444.71,30,4,7241.00,1370.00,1778.86,4.07,0.77,24.57%,129.84%,-,-,-
24,【艾薇手工坊】濾掛式咖啡 - 綜合風味 - 40入 (盒裝) [4],正在進行,商品廣告,23545703065,-,-,全站推廣 - 自訂ROI,所有,自動投放,-,2024/10/25 00:00:00,無限制,10874,149,1.37%,5,4,3.36%,2.68%,389.67,487.09,5,4,2483.00,2380.00,1948.37,1.27,1.22,78.47%,81.86%,-,-,-
25,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,送禮禮盒,精準比對,2025/11/26 00:00:00,無限制,1299,16,1.23%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,182.32,0.00,0.00,0.00%,0.00%,-,-,-
26,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,餅乾禮盒,精準比對,2025/11/26 00:00:00,無限制,802,23,2.87%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,261.27,0.00,0.00,0.00%,0.00%,-,-,-
27,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,禮盒,精準比對,2025/11/26 00:00:00,無限制,627,11,1.75%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,146.27,0.00,0.00,0.00%,0.00%,-,-,-
28,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,鐵盒餅乾,精準比對,2025/11/26 00:00:00,無限制,439,12,2.73%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,110.76,0.00,0.00,0.00%,0.00%,-,-,-
29,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,喜餅,精準比對,2025/11/26 00:00:00,無限制,306,22,7.19%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,268.42,0.00,0.00,0.00%,0.00%,-,-,-
30,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,伴手禮,精準比對,2025/11/26 00:00:00,無限制,302,7,2.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,76.15,0.00,0.00,0.00%,0.00%,-,-,-
31,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,甜點禮盒,精準比對,2025/11/26 00:00:00,無限制,225,9,4.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,93.82,0.00,0.00,0.00%,0.00%,-,-,-
32,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,高雄伴手禮,精準比對,2025/11/26 00:00:00,無限制,187,6,3.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,91.47,0.00,0.00,0.00%,0.00%,-,-,-
33,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,餅乾鐵盒,精準比對,2025/11/26 00:00:00,無限制,181,2,1.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,13.35,0.00,0.00,0.00%,0.00%,-,-,-
34,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,過年禮盒,精準比對,2025/11/26 00:00:00,無限制,148,5,3.38%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,31.97,0.00,0.00,0.00%,0.00%,-,-,-
35,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,彌月禮盒,精準比對,2025/11/26 00:00:00,無限制,124,4,3.23%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,46.45,0.00,0.00,0.00%,0.00%,-,-,-
36,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,新年禮盒,精準比對,2025/11/26 00:00:00,無限制,116,7,6.03%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,48.27,0.00,0.00,0.00%,0.00%,-,-,-
37,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,喜餅禮盒,精準比對,2025/11/26 00:00:00,無限制,105,5,4.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,58.84,0.00,0.00,0.00%,0.00%,-,-,-
38,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,彌月餅乾,精準比對,2025/11/26 00:00:00,無限制,37,1,2.70%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.05,0.00,0.00,0.00%,0.00%,-,-,-
39,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,喜餅餅乾,精準比對,2025/11/26 00:00:00,無限制,35,1,2.86%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,5.36,0.00,0.00,0.00%,0.00%,-,-,-
40,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,月餅禮盒,精準比對,2025/11/26 00:00:00,無限制,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
41,【艾薇手工坊】暖暖幸福禮盒 - 手工餅乾36入 (鐵盒附提袋) [5],正在進行,商品廣告,4970794432,自動受眾,-,手動出價,搜尋,中秋禮盒,精準比對,2025/11/26 00:00:00,無限制,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
42,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,禮盒,精準比對,2025/11/26 00:00:00,無限制,2109,25,1.19%,3,0,12.00%,0.00%,99.60,0.00,3,0,1535.00,0.00,298.81,5.14,0.00,19.47%,0.00%,-,-,-
43,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,送禮禮盒,精準比對,2025/11/26 00:00:00,無限制,870,8,0.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,42.20,0.00,0.00,0.00%,0.00%,-,-,-
44,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,伴手禮,精準比對,2025/11/26 00:00:00,無限制,223,3,1.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,28.19,0.00,0.00,0.00%,0.00%,-,-,-
45,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,伴手禮推薦,精準比對,2025/11/26 00:00:00,無限制,187,4,2.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,26.35,0.00,0.00,0.00%,0.00%,-,-,-
46,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,甜點禮盒,精準比對,2025/11/26 00:00:00,無限制,179,2,1.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,12.73,0.00,0.00,0.00%,0.00%,-,-,-
47,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,過年禮盒,精準比對,2025/11/26 00:00:00,無限制,176,10,5.68%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,77.51,0.00,0.00,0.00%,0.00%,-,-,-
48,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,堅果塔禮盒,精準比對,2025/11/26 00:00:00,無限制,144,10,6.94%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,134.64,0.00,0.00,0.00%,0.00%,-,-,-
49,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,高雄伴手禮,精準比對,2025/11/26 00:00:00,無限制,107,4,3.74%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,16.89,0.00,0.00,0.00%,0.00%,-,-,-
50,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,夏威夷豆塔,精準比對,2025/11/26 00:00:00,無限制,98,4,4.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,50.19,0.00,0.00,0.00%,0.00%,-,-,-
51,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,喜餅禮盒,精準比對,2025/11/26 00:00:00,無限制,48,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
52,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,年節禮盒,精準比對,2025/11/26 00:00:00,無限制,44,1,2.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,15.95,0.00,0.00,0.00%,0.00%,-,-,-
53,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,喜餅,精準比對,2025/11/26 00:00:00,無限制,14,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
54,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,中秋禮盒,精準比對,2025/11/26 00:00:00,無限制,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
55,【艾薇手工坊】艾薇招牌雙塔禮盒-綜合口味 15入 (盒裝附提袋) [5],正在進行,商品廣告,2697592177,自動受眾,-,手動出價,搜尋,月餅禮盒,精準比對,2025/11/26 00:00:00,無限制,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
56,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,禮盒,精準比對,2025/11/26 00:00:00,無限制,883,7,0.79%,3,2,42.86%,28.57%,31.57,47.36,4,2,1480.00,1190.00,94.71,15.63,12.56,6.40%,7.96%,-,-,-
57,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,聖誕禮盒,精準比對,2025/11/26 00:00:00,無限制,869,27,3.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,300.61,0.00,0.00,0.00%,0.00%,-,-,-
58,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,送禮禮盒,精準比對,2025/11/26 00:00:00,無限制,430,3,0.70%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,33.76,0.00,0.00,0.00%,0.00%,-,-,-
59,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,禮盒組,精準比對,2025/11/26 00:00:00,無限制,412,4,0.97%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,8.86,0.00,0.00,0.00%,0.00%,-,-,-
60,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,咖啡禮盒,精準比對,2025/11/26 00:00:00,無限制,179,3,1.68%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,31.03,0.00,0.00,0.00%,0.00%,-,-,-
61,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,伴手禮,精準比對,2025/11/26 00:00:00,無限制,152,2,1.32%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.62,0.00,0.00,0.00%,0.00%,-,-,-
62,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,堅果塔禮盒,精準比對,2025/11/26 00:00:00,無限制,118,4,3.39%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,68.83,0.00,0.00,0.00%,0.00%,-,-,-
63,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,高雄伴手禮,精準比對,2025/11/26 00:00:00,無限制,103,3,2.91%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,12.44,0.00,0.00,0.00%,0.00%,-,-,-
64,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,甜點禮盒,精準比對,2025/11/26 00:00:00,無限制,98,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
65,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,過年禮盒,精準比對,2025/11/26 00:00:00,無限制,93,4,4.30%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,36.15,0.00,0.00,0.00%,0.00%,-,-,-
66,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,聖誕節禮盒,精準比對,2025/11/26 00:00:00,無限制,52,3,5.77%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,34.77,0.00,0.00,0.00%,0.00%,-,-,-
67,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,新年禮盒,精準比對,2025/11/26 00:00:00,無限制,52,1,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.33,0.00,0.00,0.00%,0.00%,-,-,-
68,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,婚禮禮盒,精準比對,2025/11/26 00:00:00,無限制,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,10.66,0.00,0.00,0.00%,0.00%,-,-,-
69,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,喜餅禮盒,精準比對,2025/11/26 00:00:00,無限制,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
70,【艾薇手工坊】午後漫步禮盒 16入 (豆塔+瑪德蓮+咖啡) (鐵盒附提袋) [5],正在進行,商品廣告,23147009773,自動受眾,-,手動出價,搜尋,中秋禮盒,精準比對,2025/11/26 00:00:00,無限制,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-
71,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,禮盒,精準比對,2025/11/26 00:00:00,無限制,1110,21,1.89%,1,0,4.76%,0.00%,277.57,0.00,1,0,550.00,0.00,277.57,1.98,0.00,50.47%,0.00%,-,-,-
72,【艾薇手工坊】新浪漫詩篇禮盒 22入 (豆塔+瑪德蓮+手工餅乾)  (鐵盒附提袋) [5],正在進行,商品廣告,23047014022,自動受眾,-,手動出價,搜尋,餅乾禮盒,精準比對,2025/11/26 00:00:00,無限制,425,8,1.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,86.41,0.00,0.00,0.00%,0.00%,-,-,-
